game_id,conditionScore,tempScore,windScore,snowScore,weatherScore,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset,HomeTeam,RoofType,Longitude,Latitude,StadiumAzimuthAngle,date_time,date
2000091100,0,0,0,0,0,2000,Giants Stadium,9/11/2000 21:00,9/12/2000 0:09,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-09-11T21:00:00Z,2000-09-11
2000091100,0,0,0,0,0,2000,Giants Stadium,9/11/2000 21:00,9/12/2000 0:09,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-09-11T21:00:00Z,2000-09-11
2000091700,0,0,0,0,0,2000,Bank of America Stadium,9/17/2000 13:00,9/17/2000 16:02,-4,CAR,Outdoor,-80.852778,35.225833,322.4,2000-09-17T13:00:00Z,2000-09-17
2000091701,0,0,0,0,0,2000,Giants Stadium,9/17/2000 13:00,9/17/2000 16:13,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-09-17T13:00:00Z,2000-09-17
2000091701,0,0,0,0,0,2000,Giants Stadium,9/17/2000 13:00,9/17/2000 16:13,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-09-17T13:00:00Z,2000-09-17
2000091702,7.714285714285714,0,0.1857142857142857,0,7.9,2000,TIAA Bank Field,9/17/2000 13:00,9/17/2000 16:11,-4,JAX,Outdoor,-81.6375,30.323889,16.7,2000-09-17T13:00:00Z,2000-09-17
2000091703,0,0,0.24666666666666673,0,0.24666666666666673,2000,Oakland Coliseum,9/17/2000 13:05,9/17/2000 16:04,-7,OAK,Outdoor,-122.200556,37.751667,324.7,2000-09-17T13:05:00Z,2000-09-17
2000091704,0,0,1.8808333333333334,0,1.8808333333333334,2000,Foxboro Stadium,9/17/2000 16:15,9/17/2000 19:15,-4,NE,Outdoor,-71.267442,42.0927,353.7,2000-09-17T16:15:00Z,2000-09-17
2000091705,0,0,0,0,0,2000,Husky Stadium,9/17/2000 13:15,9/17/2000 16:01,-7,SEA,Outdoor,-122.301667,47.650278,289.6,2000-09-17T13:15:00Z,2000-09-17
2000091706,0,0,0,0,0,2000,Soldier Field,9/17/2000 15:15,9/17/2000 18:13,-5,CHI,Outdoor,-87.6167,41.8623,353.9,2000-09-17T15:15:00Z,2000-09-17
2000091707,0,0,0.05285714285714287,0,0.05285714285714287,2000,Lambeau Field,9/17/2000 12:00,9/17/2000 15:03,-5,GB,Outdoor,-88.062222,44.501389,0,2000-09-17T12:00:00Z,2000-09-17
2000091708,0,0,2.6235714285714282,0,2.6235714285714282,2000,FirstEnergy Stadium,9/17/2000 13:00,9/17/2000 16:03,-4,CLE,Outdoor,-81.699444,41.506111,56.1,2000-09-17T13:00:00Z,2000-09-17
2000091709,0,0,0,0,0,2000,Arrowhead Stadium,9/17/2000 16:05,9/17/2000 19:11,-5,KC,Outdoor,-94.483889,39.048889,316.3,2000-09-17T16:05:00Z,2000-09-17
2000091710,0,0,0,0,0,2000,The Dome at America's Center,9/17/2000 12:00,9/17/2000 15:13,-5,STL,Indoor,-90.188611,38.632778,15,2000-09-17T12:00:00Z,2000-09-17
2000091711,0,0,0,0,0,2000,Pontiac Silverdome,9/17/2000 13:00,9/17/2000 17:52,-4,DET,Indoor,-83.255,42.64583333,310,2000-09-17T13:00:00Z,2000-09-17
2000091712,4,0,0,0,4,2000,Hard Rock Stadium,9/17/2000 20:20,9/17/2000 23:16,-4,MIA,Outdoor,-80.238889,25.958056,302.1,2000-09-17T20:20:00Z,2000-09-17
2000091800,0,0,0,0,0,2000,FedExField,9/18/2000 21:00,9/19/2000 0:19,-4,WAS,Outdoor,-76.864444,38.907778,295,2000-09-18T21:00:00Z,2000-09-18
2000092400,0,0,0.05285714285714287,0,0.05285714285714287,2000,M&T Bank Stadium,9/24/2000 13:00,9/24/2000 16:08,-4,BAL,Outdoor,-76.622778,39.278056,289.5,2000-09-24T13:00:00Z,2000-09-24
2000092401,0,0,0.2783333333333333,0,0.2783333333333333,2000,Oakland Coliseum,9/24/2000 13:15,9/24/2000 16:13,-7,OAK,Outdoor,-122.200556,37.751667,324.7,2000-09-24T13:15:00Z,2000-09-24
2000092402,0,0,0.7435714285714287,0,0.7435714285714287,2000,Soldier Field,9/24/2000 12:00,9/24/2000 15:04,-5,CHI,Outdoor,-87.6167,41.8623,353.9,2000-09-24T12:00:00Z,2000-09-24
2000092403,0,0,0,0,0,2000,Sun Devil Stadium,9/24/2000 13:05,9/24/2000 16:02,-7,ARI,Outdoor,-111.9325,33.42638889,14.2,2000-09-24T13:05:00Z,2000-09-24
2000092404,0,0.3416666666666662,0,0,0.3416666666666662,2000,Mile High Stadium,9/24/2000 14:15,9/24/2000 17:11,-6,DEN,Outdoor,-105.0216667,39.74611111,0,2000-09-24T14:15:00Z,2000-09-24
2000092405,0,0,0,0,0,2000,Hard Rock Stadium,9/24/2000 13:00,9/24/2000 15:54,-4,MIA,Outdoor,-80.238889,25.958056,302.1,2000-09-24T13:00:00Z,2000-09-24
2000092406,3,0,0,0,3,2000,Raymond James Stadium,9/24/2000 16:15,9/24/2000 19:25,-4,TB,Outdoor,-82.503333,27.975833,0,2000-09-24T16:15:00Z,2000-09-24
2000092407,0,0,0,0,0,2000,Mercedes-Benz Superdome,9/24/2000 12:00,9/24/2000 15:00,-5,NO,Indoor,-90.811111,29.950833,30,2000-09-24T12:00:00Z,2000-09-24
2000092408,0,0,0,0,0,2000,Georgia Dome,9/24/2000 13:00,9/24/2000 16:10,-4,ATL,Indoor,-84.401,33.758,90,2000-09-24T13:00:00Z,2000-09-24
2000092409,0,0,0,0,0,2000,Texas Stadium,9/24/2000 12:00,9/24/2000 15:05,-5,DAL,Indoor,-96.911,32.84,39.4,2000-09-24T12:00:00Z,2000-09-24
2000092410,0,0,0.7124999999999999,0,0.7124999999999999,2000,Qualcomm Stadium,9/24/2000 13:15,9/24/2000 16:19,-7,SD,Outdoor,-117.119444,32.783056,291.6,2000-09-24T13:15:00Z,2000-09-24
2000092411,0,0,0.21285714285714288,0,0.21285714285714288,2000,Three Rivers Stadium,9/24/2000 13:00,9/24/2000 16:21,-4,PIT,Outdoor,-80.012778,40.446667,0,2000-09-24T13:00:00Z,2000-09-24
2000092412,0,0,0.15499999999999994,0,0.15499999999999994,2000,Giants Stadium,9/24/2000 20:20,9/24/2000 23:07,-4,NYG,Outdoor,-74.076944,40.812222,308,2000-09-24T20:20:00Z,2000-09-24
2000092412,0,0,0.15499999999999994,0,0.15499999999999994,2000,Giants Stadium,9/24/2000 20:20,9/24/2000 23:07,-4,NYJ,Outdoor,-74.076944,40.812222,308,2000-09-24T20:20:00Z,2000-09-24
2000092500,0,0,0,0,0,2000,RCA Dome,9/25/2000 20:00,9/25/2000 23:32,-5,IND,Indoor,-86.16333333,39.76361111,90,2000-09-25T20:00:00Z,2000-09-25
2000100100,0,0,2.8641666666666667,0,2.8641666666666667,2000,Candlestick Park,10/1/2000 13:15,10/1/2000 16:22,-7,SF,Outdoor,-122.386111,37.713611,0,2000-10-01T13:15:00Z,2000-10-01
2000100101,0,0,1.426666666666667,0,1.426666666666667,2000,FirstEnergy Stadium,10/1/2000 13:00,10/1/2000 15:48,-4,CLE,Outdoor,-81.699444,41.506111,56.1,2000-10-01T13:00:00Z,2000-10-01
2000100102,0,0,0.06166666666666668,0,0.06166666666666668,2000,Lambeau Field,10/1/2000 15:15,10/1/2000 18:37,-5,GB,Outdoor,-88.062222,44.501389,0,2000-10-01T15:15:00Z,2000-10-01
2000100103,0,0,0.8683333333333333,0,0.8683333333333333,2000,Bank of America Stadium,10/1/2000 13:00,10/1/2000 15:58,-4,CAR,Outdoor,-80.852778,35.225833,322.4,2000-10-01T13:00:00Z,2000-10-01
2000100104,0,0,0.465,0,0.465,2000,New Era Field,10/1/2000 13:00,10/1/2000 15:49,-4,BUF,Outdoor,-78.787,42.774,302.1,2000-10-01T13:00:00Z,2000-10-01
2000100105,0,0,0,0,0,2000,Paul Brown Stadium,10/1/2000 16:05,10/1/2000 19:12,-4,CIN,Outdoor,-84.516,39.095,320.6,2000-10-01T16:05:00Z,2000-10-01
2000100106,0,0,0,0,0,2000,Pontiac Silverdome,10/1/2000 13:00,10/1/2000 16:15,-4,DET,Indoor,-83.255,42.64583333,310,2000-10-01T13:00:00Z,2000-10-01
2000100107,0,0,0,0,0,2000,Mile High Stadium,10/1/2000 14:05,10/1/2000 17:10,-6,DEN,Outdoor,-105.0216667,39.74611111,0,2000-10-01T14:05:00Z,2000-10-01
2000100108,0,0,0,0,0,2000,Nissan Stadium,10/1/2000 12:00,10/1/2000 15:04,-5,TEN,Outdoor,-86.771389,36.166389,334.6,2000-10-01T12:00:00Z,2000-10-01
2000100109,0,0,3.120714285714286,0,3.120714285714286,2000,TIAA Bank Field,10/1/2000 13:00,10/1/2000 16:06,-4,JAX,Outdoor,-81.6375,30.323889,16.7,2000-10-01T13:00:00Z,2000-10-01
2000100110,0,0,0,0,0,2000,The Dome at America's Center,10/1/2000 12:00,10/1/2000 15:08,-5,STL,Indoor,-90.188611,38.632778,15,2000-10-01T12:00:00Z,2000-10-01
2000100111,0,0,0,0,0,2000,FedExField,10/1/2000 16:15,10/1/2000 19:45,-4,WAS,Outdoor,-76.864444,38.907778,295,2000-10-01T16:15:00Z,2000-10-01
2000100112,0,0,0,0,0,2000,Veterans Stadium,10/1/2000 20:20,10/1/2000 23:27,-4,PHI,Outdoor,-75.171111,39.906667,90,2000-10-01T20:20:00Z,2000-10-01
