Name,absolute_rating,difference_rating,scaled_rating,dif_scaled,g_mean,incl_c,count,abs_actual,g_abs_actual,act_difference_rating,std_abs,std_dif,std_scl,std_dif_scl,g_games,g_w_pct,incl_games,incl_w_pct,dif_win_pct,overall_score,important
"Anderson, Derek",-2.1702106695092094,9.661069839472006,-8.951606884978524,2.8796736240026917,-11.831280508981216,8,61,74.6625,72.3377358490566,2.3247641509433947,-0.3138323747754781,0.49038969432800306,-0.896693284915845,0.16948600271875475,53,0.33962264150943394,8,0.625,0.28537735849056606,-0.13766249066114133,mid
"Brady, Tom",10.988835725204249,-3.519996315072232,15.16124322818273,0.6524111879062495,14.50883204027648,25,244,87.56400000000001,98.18721461187215,-10.623214611872143,0.5470062328695493,-0.35612793322727926,1.13288640080024,-0.042609741323263985,219,0.7853881278538812,25,0.72,-0.06538812785388126,0.3202887397798115,mid
"Campbell, Jason",-10.31914371499454,-7.811410420112731,-6.370847184762202,-3.863113889880393,-2.507733294881809,6,91,67,81.40117647058824,-14.40117647058824,-0.8469193452330283,-0.6317321707345576,-0.6794706241066668,-0.4726101021213762,85,0.38823529411764707,6,0.16666666666666666,-0.2215686274509804,-0.6576830605489071,mid
"Cassel, Matt",16.934990797201557,23.551133611996825,5.1269574373162765,11.743100252111542,-6.616142814795267,7,90,93.08571428571429,77.32168674698795,15.764027538726339,0.935991855344136,1.3824407388677948,0.2883001114882064,1.013524421803908,83,0.43373493975903615,7,0.7142857142857143,0.28055077452667815,0.9050642818760113,mid
"Clemens, Kellen",-24.056001355707206,-4.9573326631848715,-26.573340496631037,-7.474671804108702,-19.098668692522335,5,38,55,65.39696969696969,-10.396969696969691,-1.7455572138250666,-0.4484368967919459,-2.379915400819481,-0.8165282909054511,33,0.3939393939393939,5,0.4,0.0060606060606061,-1.347609450585486,mid
"Cousins, Kirk",-27.586246977592122,-39.75881740598492,-6.455888054526314,-18.628458482919115,12.1725704283928,4,47,48.85,96.20930232558139,-47.35930232558139,-1.9764988515876059,-2.6834662908079943,-0.686628517964874,-1.8786710569256004,43,0.4883720930232558,4,0,-0.4883720930232558,-1.8063161793215188,Bad
"Cutler, Jay",8.703623599318977,6.306109985719497,4.998854649292131,2.601341035692651,2.3975136135994797,18,139,85.06111111111112,86.24710743801653,-1.1859963269054106,0.3975122068122419,0.2749266488775654,0.27751769402045584,0.14298119733433765,121,0.4793388429752066,18,0.5555555555555556,0.07621671258034896,0.27323443676115017,mid
"Dalton, Andy",11.22216862514696,4.362423621206837,10.31552892369356,3.4557839197534364,6.859745003940123,7,91,89.24285714285715,90.76904761904763,-1.5261904761904788,0.562270406479056,0.15009875174789647,0.7250224084052859,0.22434731580302514,84,0.6011904761904762,7,0.7142857142857143,0.11309523809523814,0.41543472060881587,mid
"Edwards, Trent",2.584858050945825,10.13881379229925,-1.717796366526065,5.836159374827359,-7.553955741353423,10,39,78.08,76.36206896551724,1.7179310344827599,-0.0027652492566104998,0.5210714823400278,-0.28782312607232624,0.45102356870481897,29,0.4482758620689655,10,0.3,-0.14827586206896554,0.17037666892897751,mid
"Favre, Brett",2.5618537327415107,-0.03109743509101026,0.9751474230776288,-1.6178037447548923,2.592951167832521,29,178,78.6103448275862,86.65570469798658,-8.045359870400375,-0.004270145938240921,-0.13206302314837937,-0.061157925380362015,-0.25879572707623205,149,0.6040268456375839,29,0.5517241379310345,-0.052302707706549434,-0.11407170538580359,mid
"Fiedler, Jay",-37.402022253035,-35.33471865359591,-16.68752969489909,-14.62022609546,-2.0673035994390907,4,68,39.975,81.85,-41.87499999999999,-2.6186273210535522,-2.3993407476969386,-1.5478262580649935,-1.4969787081777735,64,0.578125,4,0.25,-0.328125,-2.0156932587483145,Bad
"Fitzpatrick, Ryan",6.970659924838836,10.537296931324232,0.8122631056796538,4.3789001121650495,-3.566637006485396,6,140,82.06666666666666,80.23880597014926,1.827860696517405,0.28414517459034666,0.5466629631438713,-0.07486790575021554,0.31225299431387066,134,0.3917910447761194,6,0.6666666666666666,0.2748756218905472,0.2670483065744683,mid
"Flacco, Joe",-8.298393098881123,-10.51847878215484,-0.6423832023560179,-2.8624688856297364,2.2200856832737186,8,137,68.575,86.22635658914729,-17.651356589147284,-0.7147258644446519,-0.8055861716626856,-0.1973055513556045,-0.3773215796469271,129,0.5813953488372093,8,0.625,0.043604651162790664,-0.5237347917774673,mid
"Flutie, Doug",4.985194877759713,16.237153869561165,-4.7901109564234465,6.461848035378005,-11.251958991801452,4,40,81.94999999999999,72.52777777777779,9.422222222222203,0.15426000545361462,0.9127205578929418,-0.5464199842007401,0.5106060857209669,36,0.3611111111111111,4,0.5,0.1388888888888889,0.2577916662166958,mid
