Name,absolute_rating,difference_rating,scaled_rating,dif_scaled,g_mean,incl_c,count,abs_actual,g_abs_actual,act_difference_rating,std_abs,std_dif,std_scl,std_dif_scl,g_games,g_w_pct,incl_games,incl_w_pct,dif_win_pct,overall_score,important
"Pennington, Chad",5.250503483857081,-1.4503059299501926,-0.27477527795471124,-6.975584691761984,6.700809413807273,8,127,80.825,90.7,-9.875,0.17161596607708765,-0.22320777532461472,-0.166363975715572,-0.7690016722549419,119,0.4957983193277311,8,0.75,0.2542016806722689,-0.24673936430451024,mid
"Rivers, Philip",9.566856859451628,-2.904018759768171,8.734241840463511,-3.7366337787562873,12.470875619219798,7,174,87.32857142857144,96.70898203592814,-9.380410607356708,0.45398320747867354,-0.31656847326936616,0.5919254030182196,-0.460565767856753,167,0.562874251497006,7,0.42857142857142855,-0.13430282292557744,0.0671935923426935,mid
"Rodgers, Aaron",29.48008832324383,10.287294145241322,29.366780915938467,10.173986737935959,19.192794178002508,18,140,105.5111111111111,103.04672131147541,2.464389799635697,1.7566671507384772,0.5306072235795756,2.3285671511237624,0.8641022913527091,122,0.639344262295082,18,0.7777777777777778,0.13843351548269578,1.3699859541986312,Good
"Roethlisberger, Ben",15.120994367691136,3.215633828069503,13.393739051172266,1.4883785115506338,11.905360539621633,23,183,91.69130434782609,95.465625,-3.7743206521739125,0.8173238216726273,0.07644933950694902,0.984115494198836,0.03699700309519813,160,0.64375,23,0.8260869565217391,0.1823369565217391,0.4787214146184026,mid
"Smith, Alex",15.329051068063944,14.513009047156757,7.9819051131938075,7.165863092286621,0.8160420209071862,12,136,91.775,84.71370967741936,7.061290322580646,0.8309344766462353,0.8019921109288601,0.5286011866224445,0.5776473983619311,124,0.5443548387096774,12,0.6666666666666666,0.12231182795698925,0.6847937931398679,mid
"Stafford, Matthew",-1.5097042273600312,-4.924508763554593,-8.893950466349887,-12.308755002544448,3.414804536194562,4,103,74.8,87.71212121212122,-12.912121212121221,-0.27062335879171384,-0.44632887234867613,-0.8918403415495212,-1.27686401790231,99,0.494949494949495,4,0,-0.494949494949495,-0.7214141476480553,mid
"Tannehill, Ryan",12.111653619559917,9.405371414631627,5.7837373447549885,3.0774551398266987,2.7062822049282897,5,77,88.58,86.43888888888888,2.1411111111111154,0.6204587433192703,0.47396816806998665,0.3435813060325431,0.1883201630209288,72,0.4861111111111111,5,0.6,0.11388888888888887,0.4065820951106822,mid
"Taylor, Tyrod",12.58880587961837,6.072699435552721,14.193730305569837,7.677623861504188,6.516106444065649,5,35,89.46,90.17666666666666,-0.7166666666666686,0.651673093878017,0.2599364999126098,1.0514507943004867,0.6263808926101211,30,0.5666666666666667,5,0.2,-0.36666666666666664,0.6473603201753086,mid
"Wallace, Seneca",-2.554393400317433,-0.09674068552273019,5.750396587461944,8.208049302256647,-2.457652714794703,5,41,74.25999999999999,81.31388888888888,-7.053888888888892,-0.3389648438883676,-0.1362787798989302,0.3407750129817097,0.6768917694120398,36,0.25,5,0.8,0.55,0.1356057896516129,mid
"Wilson, Russell",20.448586107093547,3.5180712579885842,16.024441972210607,-0.9060728768943562,16.930514849104963,4,80,98.275,100.8078947368421,-2.5328947368420955,1.165844262856784,0.09587254948535838,1.2055418781657454,-0.19101966012961752,76,0.7302631578947368,4,0.5,-0.23026315789473684,0.5690597575945675,mid
